CenBlock10,CenTract10,NTA10,PUMA10,CenUnits10
360050054003002,36005005400,BX08,3709,17
360050054004000,36005005400,BX08,3709,412
360050056001000,36005005600,BX08,3709,436
360050056001001,36005005600,BX08,3709,1
360050056002000,36005005600,BX08,3709,256
360050056003000,36005005600,BX08,3709,0
360050056003001,36005005600,BX08,3709,27
360050056003002,36005005600,BX08,3709,146
360050056003003,36005005600,BX08,3709,130
360050056003004,36005005600,BX08,3709,26
360050059021000,36005005902,BX14,3708,201
360050059021001,36005005902,BX14,3708,166
360050059022000,36005005902,BX14,3708,514
360050059022001,36005005902,BX14,3708,219
360050060001000,36005006000,BX75,3705,0
360050060001001,36005006000,BX75,3705,32
360050060001002,36005006000,BX75,3705,117
360050060001003,36005006000,BX75,3705,0
360050060001004,36005006000,BX75,3705,0
360050060001005,36005006000,BX75,3705,0
360050060001006,36005006000,BX75,3705,192
360050060001007,36005006000,BX75,3705,0
360050060001008,36005006000,BX75,3705,0
360050060001009,36005006000,BX75,3705,43
360050060001010,36005006000,BX75,3705,0
360050060001011,36005006000,BX75,3705,0
360050060001012,36005006000,BX75,3705,0
360050060001013,36005006000,BX75,3705,0
360050060001014,36005006000,BX75,3705,0
360050060001015,36005006000,BX75,3705,0
360050060001016,36005006000,BX75,3705,1
360050060001017,36005006000,BX75,3705,0
360050060001018,36005006000,BX75,3705,0
360050060001019,36005006000,BX75,3705,0
360050060001020,36005006000,BX75,3705,0
360050060001021,36005006000,BX75,3705,0
360050061001000,36005006100,BX14,3708,312
360050061002000,36005006100,BX14,3708,312
360050061002001,36005006100,BX14,3708,1603
360050061003000,36005006100,BX14,3708,0
360050061003001,36005006100,BX14,3708,1
360050061003002,36005006100,BX14,3708,0
360050061003003,36005006100,BX14,3708,0
360050061003004,36005006100,BX14,3708,0
360050061003005,36005006100,BX14,3708,4
360050061003006,36005006100,BX14,3708,0
360050062001000,36005006200,BX08,3709,41
360050062001001,36005006200,BX08,3709,0
360050062001002,36005006200,BX08,3709,0
360050062001003,36005006200,BX08,3709,288
360050062001004,36005006200,BX08,3709,246
360050062002000,36005006200,BX08,3709,553
360050062003000,36005006200,BX08,3709,284
360050062003001,36005006200,BX08,3709,0
360050062003002,36005006200,BX08,3709,136
360050062003003,36005006200,BX08,3709,135
360050062003004,36005006200,BX08,3709,139
360050062004000,36005006200,BX08,3709,393
360050062005000,36005006200,BX08,3709,0
360050062005001,36005006200,BX08,3709,240
360050063001000,36005006300,BX63,3708,0
360050063001001,36005006300,BX63,3708,0
360050063001002,36005006300,BX63,3708,0
360050063001003,36005006300,BX63,3708,0
360050063001004,36005006300,BX63,3708,0
360050063001005,36005006300,BX63,3708,0
360050063001006,36005006300,BX63,3708,0
360050063001007,36005006300,BX63,3708,0
360050063002000,36005006300,BX63,3708,0
360050063002001,36005006300,BX63,3708,0
360050063002002,36005006300,BX63,3708,0
360050063002003,36005006300,BX63,3708,0
360050063002004,36005006300,BX63,3708,0
360050063002005,36005006300,BX63,3708,0
360050063002006,36005006300,BX63,3708,0
360050063002007,36005006300,BX63,3708,0
360050063002008,36005006300,BX63,3708,0
360050063002009,36005006300,BX63,3708,0
360050063002010,36005006300,BX63,3708,0
360050063002011,36005006300,BX63,3708,0
360050063002012,36005006300,BX63,3708,0
360050063002013,36005006300,BX63,3708,0
360050063002014,36005006300,BX63,3708,0
360050063002015,36005006300,BX63,3708,82
360050063002016,36005006300,BX63,3708,17
