OBJECTID,boro,bct2020,centract2020
545,Brooklyn,3005000,36047005000
546,Brooklyn,3005100,36047005100
547,Brooklyn,3005201,36047005201
548,Brooklyn,3005202,36047005202
549,Brooklyn,3005301,36047005301
550,Brooklyn,3005303,36047005303
551,Brooklyn,3005400,36047005400
552,Brooklyn,3005601,36047005601
553,Brooklyn,3005602,36047005602
554,Brooklyn,3005800,36047005800
555,Brooklyn,3006000,36047006000
556,Brooklyn,3006200,36047006200
557,Brooklyn,3006300,36047006300
558,Brooklyn,3006400,36047006400
559,Brooklyn,3006600,36047006600
560,Brooklyn,3006700,36047006700
561,Brooklyn,3006800,36047006800
562,Brooklyn,3006901,36047006901
563,Brooklyn,3006902,36047006902
564,Brooklyn,3007100,36047007100
565,Brooklyn,3007200,36047007200
566,Brooklyn,3007400,36047007400
567,Brooklyn,3007500,36047007500
568,Brooklyn,3007600,36047007600
569,Brooklyn,3007800,36047007800
570,Brooklyn,3008000,36047008000
571,Brooklyn,3008200,36047008200
572,Brooklyn,3008500,36047008500
573,Brooklyn,3008600,36047008600
574,Brooklyn,3008800,36047008800
575,Brooklyn,3009001,36047009001
576,Brooklyn,3009201,36047009201
577,Brooklyn,3009202,36047009202
578,Brooklyn,3009401,36047009401
579,Brooklyn,3009402,36047009402
580,Brooklyn,3009600,36047009600
581,Brooklyn,3009800,36047009800
582,Brooklyn,3010000,36047010000
583,Brooklyn,3010100,36047010100
584,Brooklyn,3010200,36047010200
585,Brooklyn,3010401,36047010401
586,Brooklyn,3010402,36047010402
587,Brooklyn,3010601,36047010601
588,Brooklyn,3010602,36047010602
589,Brooklyn,3010801,36047010801
590,Brooklyn,3010802,36047010802
591,Brooklyn,3011200,36047011200
592,Brooklyn,3011400,36047011400
593,Brooklyn,3011600,36047011600
594,Brooklyn,3011700,36047011700
595,Brooklyn,3012100,36047012100
596,Brooklyn,3012700,36047012700
597,Brooklyn,3012801,36047012801
598,Brooklyn,3012901,36047012901
599,Brooklyn,3013000,36047013000
600,Brooklyn,3013100,36047013100
601,Brooklyn,3013200,36047013200
602,Brooklyn,3013300,36047013300
603,Brooklyn,3013400,36047013400
604,Brooklyn,3013500,36047013500
605,Brooklyn,3013600,36047013600
606,Brooklyn,3013700,36047013700
607,Brooklyn,3013800,36047013800
608,Brooklyn,3013900,36047013900
609,Brooklyn,3014000,36047014000
610,Brooklyn,3014101,36047014101
611,Brooklyn,3014102,36047014102
612,Brooklyn,3014200,36047014200
613,Brooklyn,3014300,36047014300
614,Brooklyn,3014500,36047014500
615,Brooklyn,3014700,36047014700
616,Brooklyn,3014800,36047014800
617,Brooklyn,3014901,36047014901
618,Brooklyn,3014902,36047014902
619,Brooklyn,3015000,36047015000
620,Brooklyn,3015100,36047015100
621,Brooklyn,3015200,36047015200
622,Brooklyn,3015300,36047015300
623,Brooklyn,3015400,36047015400
624,Brooklyn,3015500,36047015500
625,Brooklyn,3015700,36047015700
626,Brooklyn,3015900,36047015900
627,Brooklyn,3016000,36047016000
628,Brooklyn,3016200,36047016200
629,Brooklyn,3016400,36047016400
630,Brooklyn,3016500,36047016500
631,Brooklyn,3016600,36047016600
632,Brooklyn,3016700,36047016700
633,Brooklyn,3016800,36047016800
634,Brooklyn,3016900,36047016900
635,Brooklyn,3017000,36047017000
636,Brooklyn,3017100,36047017100
637,Brooklyn,3017200,36047017200
638,Brooklyn,3017400,36047017400
639,Brooklyn,3017600,36047017600
640,Brooklyn,3017800,36047017800
641,Brooklyn,3017900,36047017900
642,Brooklyn,3018000,36047018000
643,Brooklyn,3018100,36047018100
644,Brooklyn,3018200,36047018200
645,Brooklyn,3018300,36047018300
646,Brooklyn,3018400,36047018400
647,Brooklyn,3018501,36047018501
648,Brooklyn,3018600,36047018600
649,Brooklyn,3018700,36047018700
650,Brooklyn,3018800,36047018800
651,Brooklyn,3019000,36047019000
652,Brooklyn,3019100,36047019100
653,Brooklyn,3019300,36047019300
654,Brooklyn,3019400,36047019400
655,Brooklyn,3019500,36047019500
656,Brooklyn,3019600,36047019600
657,Brooklyn,3019700,36047019700
658,Brooklyn,3019800,36047019800
659,Brooklyn,3019900,36047019900
660,Brooklyn,3020000,36047020000
661,Brooklyn,3020100,36047020100
662,Brooklyn,3020200,36047020200
663,Brooklyn,3020300,36047020300
664,Brooklyn,3020400,36047020400
665,Brooklyn,3020500,36047020500
666,Brooklyn,3020600,36047020600
667,Brooklyn,3020700,36047020700
668,Brooklyn,3020800,36047020800
669,Brooklyn,3021000,36047021000
670,Brooklyn,3021100,36047021100
671,Brooklyn,3021200,36047021200
672,Brooklyn,3021500,36047021500
673,Brooklyn,3021600,36047021600
674,Brooklyn,3021700,36047021700
675,Brooklyn,3021800,36047021800
676,Brooklyn,3021900,36047021900
677,Brooklyn,3022000,36047022000
678,Brooklyn,3022100,36047022100
679,Brooklyn,3022200,36047022200
680,Brooklyn,3022400,36047022400
681,Brooklyn,3022600,36047022600
682,Brooklyn,3022700,36047022700
683,Brooklyn,3022800,36047022800
684,Brooklyn,3022900,36047022900
685,Brooklyn,3023000,36047023000
686,Brooklyn,3023100,36047023100
687,Brooklyn,3023200,36047023200
688,Brooklyn,3023300,36047023300
689,Brooklyn,3023400,36047023400
690,Brooklyn,3023500,36047023500
691,Brooklyn,3023600,36047023600
692,Brooklyn,3023800,36047023800
693,Brooklyn,3024000,36047024000
694,Brooklyn,3024100,36047024100
695,Brooklyn,3024200,36047024200
696,Brooklyn,3024300,36047024300
697,Brooklyn,3024400,36047024400
698,Brooklyn,3024500,36047024500
699,Brooklyn,3024600,36047024600
700,Brooklyn,3024700,36047024700
701,Brooklyn,3024900,36047024900
702,Brooklyn,3025100,36047025100
703,Brooklyn,3025200,36047025200
704,Brooklyn,3025300,36047025300
705,Brooklyn,3025500,36047025500
706,Brooklyn,3025700,36047025700
707,Brooklyn,3025800,36047025800
708,Brooklyn,3025901,36047025901
709,Brooklyn,3026000,36047026000
710,Brooklyn,3026100,36047026100
711,Brooklyn,3026200,36047026200
712,Brooklyn,3026300,36047026300
713,Brooklyn,3026400,36047026400
714,Brooklyn,3026500,36047026500
715,Brooklyn,3026600,36047026600
716,Brooklyn,3026700,36047026700
717,Brooklyn,3026800,36047026800
718,Brooklyn,3026900,36047026900
719,Brooklyn,3027000,36047027000
720,Brooklyn,3027100,36047027100
721,Brooklyn,3027200,36047027200
722,Brooklyn,3027300,36047027300
723,Brooklyn,3027400,36047027400
724,Brooklyn,3027500,36047027500
725,Brooklyn,3027600,36047027600
726,Brooklyn,3027700,36047027700
727,Brooklyn,3027800,36047027800
728,Brooklyn,3027900,36047027900
729,Brooklyn,3028000,36047028000
730,Brooklyn,3028100,36047028100
731,Brooklyn,3028200,36047028200
732,Brooklyn,3028300,36047028300
733,Brooklyn,3028400,36047028400
734,Brooklyn,3028501,36047028501
735,Brooklyn,3028502,36047028502
736,Brooklyn,3028600,36047028600
737,Brooklyn,3028700,36047028700
738,Brooklyn,3028800,36047028800
739,Brooklyn,3028900,36047028900
740,Brooklyn,3029000,36047029000
741,Brooklyn,3029100,36047029100
742,Brooklyn,3029300,36047029300
743,Brooklyn,3029500,36047029500
744,Brooklyn,3029600,36047029600
745,Brooklyn,3029700,36047029700
746,Brooklyn,3029800,36047029800
747,Brooklyn,3029900,36047029900
748,Brooklyn,3030000,36047030000
749,Brooklyn,3030100,36047030100
750,Brooklyn,3030200,36047030200
751,Brooklyn,3030300,36047030300
752,Brooklyn,3030500,36047030500
753,Brooklyn,3030600,36047030600
754,Brooklyn,3030700,36047030700
755,Brooklyn,3030900,36047030900
756,Brooklyn,3031100,36047031100
757,Brooklyn,3031300,36047031300
758,Brooklyn,3031402,36047031402
759,Brooklyn,3031500,36047031500
760,Brooklyn,3031701,36047031701
761,Brooklyn,3031702,36047031702
762,Brooklyn,3031900,36047031900
763,Brooklyn,3032100,36047032100
764,Brooklyn,3032300,36047032300
765,Brooklyn,3032500,36047032500
