factype,rectype
NYCHA COMMUNITY CENTER - CHILD CARE / JOBS PLUS / CORNERSTONE / COMPASS,facility
CLINIC TREATMENT FACILITY-OPWDD,program
TEEN RAPP,program
NON-MEDICAID CARE COORDINATION; (NON-LICENSED PROGRAM)-OMH,program
OPERATIONS,facility
"ASSISTED COMPETITIVE EMPLOYMENT-OMH, ADVOCACY SERVICES-OMH",program
NYCHA COMMUNITY CENTER - COMMUNITY CENTER,facility
CHILD ADVOCACY CENTER,program
"HOME BASED CRISIS INTERVENTION-OMH, FAMILY SUPPORT SERVICES-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
FOOD PANTRY/MEAL SERVICES,program
WATERFRONT TRANSPORTATION FACILITY,facility
CRISIS INTERVENTION-OMH,program
METHADONE MAINTENANCE-OASAS,program
CRISIS/RESPITE BEDS-OMH,program
"PSYCHOSOCIAL CLUB-OMH, CLINIC TREATMENT-OMH",program
NYCHA COMMUNITY CENTER - CHILD CARE - UPK 2014,facility
"MEDICALLY SUPERVISED OUTPATIENT-OASAS, VOCATIONAL REHABILITATION-OASAS, METHADONE MAINTENANCE-OASAS",program
MICA NETWORK-OMH,program
"NON-MEDICAID CARE COORDINATION; (NON-LICENSED PROGRAM)-OMH, ASSERTIVE COMMUNITY TREATMENT-OMH",program
VOCATIONAL SERVICES-OMH,program
HOME BASED FAMILY TREATMENT-OMH,program
NYCHA COMMUNITY CENTER - MENTORING/CASE MANAGEMENT,facility
4 YEAR PROPRIETARY,program
YOUTHPATHWAYS,program
NYCHA COMMUNITY CENTER - HEALTH AND WELLNESS CENTER,facility
SUNY - SPECIALIZED COLLEGES,facility
THEODORE ROOSEVELT BIRTHPLACE NATIONAL HISTORIC SITE,facility
NYCHA COMMUNITY CENTER - UNION SETTLEMENT ASSOCIATION,facility
NYCHA COMMUNITY CENTER - RECREATIONAL/EDUCATIONAL/SOCIAL SERVICES,facility
NY CONNECTS,program
NYCHA COMMUNITY CENTER - NEIGHBORHOOD ADMINISTRATOR OFFICE AND PLANNING UNIT,facility
REGULATED MEDICAL WASTE,program
NYCHA COMMUNITY CENTER - CHILD CARE /COMMUNITY CENTER/CREDIT UNION,facility
COMMUNITY SERVICES-OASAS,program
NATURAL RESOURCE AREA,facility
BANKRUPTCY COURT,facility
NYCHA COMMUNITY CENTER - DDC PROJECT,facility
NYCHA COMMUNITY CENTER - RA PRESIDENT,facility
NYCHA COMMUNITY CENTER - ADULT DAY CARE CENTER,facility
NYCHA COMMUNITY CENTER - SENIOR CENTER/ NORC / COMPASS,facility
NYCHA COMMUNITY CENTER - URBAN FAMILY CENTER - SHELTERS,facility
COORDINATED CHILDREN'S SERVICES INITIATIVE-OMH,program
"NY NY III SUPPORTED HOUSING-OASAS, SUPPORTED HOUSING-OMH",program
NYCHA COMMUNITY CENTER - NORC/ COMMUNITY CENTER,facility
USED COOKING OIL & YELLOW GREASE PROCESSING,program
"ASSISTED COMPETITIVE EMPLOYMENT-OMH, ASSERTIVE COMMUNITY TREATMENT-OMH",program
MAOT-A-RESIDENTIAL,program
NYCHA COMMUNITY CENTER - UNION SETTLEMENT/ CHILD CARE,facility
NYCHA COMMUNITY CENTER - URBAN FAMILY CENTER / COMMUNITY ROOM,facility
RAPID RE-HOUSING,program
"SUPPORTED HOUSING-OMH, ASSERTIVE COMMUNITY TREATMENT-OMH, SUPPORTED SRO-OMH, RESPITE-OMH",program
UNIQUE AREA,facility
GENERAL GRANT NATIONAL MEMORIAL,facility
NYCHA COMMUNITY CENTER - EDUCATION /LITERACY CENTER,facility
ANTENNA,facility
NYCHA COMMUNITY CENTER - SPORTS - BOXING PROGRAM,facility
NYCHA COMMUNITY CENTER - IPRHE / SENIOR CENTER,facility
"OTHER PREVENTION SERVICES-OASAS, PREVENTION RESOURCE CENTER-OASAS, PRIMARY PREVENTION SERVICES-OASAS",program
NYCHA COMMUNITY CENTER - UNKNOWN,facility
METRO-NORTH MAINTENANCE AND OTHER FACILITY,facility
AFRICAN BURIAL GROUND NATIONAL MONUMENT,facility
NY NY III SUPPORTED HOUSING-OASAS,program
CASTLE CLINTON NATIONAL MONUMENT,facility
NY NY III SUPPORTED HOUSING-OMH,program
SPECIAL DEMO,program
COMMERCIAL MARKET,facility
NYCHA COMMUNITY CENTER - CASE MANAGEMENT - SENIORS,facility
JOB SERVICES,program
NYCHA COMMUNITY CENTER - UNKOWN,facility
USED OIL,program
ADOLESCENT IMPACT,program
NYCHA COMMUNITY CENTER - HEATING & CCTV,facility
"OUTREACH-OMH, ADVOCACY SERVICES-OMH, CRISIS/RESPITE BEDS-OMH",program
JUSTICE PLUS,program
TRAILWAY,facility
COMMUNITY RESIDENTIAL-OASAS,program
"HOME BASED CRISIS INTERVENTION-OMH, CRISIS INTERVENTION-OMH, ADVOCACY SERVICES-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
CRUISE TERMINAL,program
NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE /COMPASS,facility
NYCHA COMMUNITY CENTER - SENIOR CENTER/ COMMUNITY CENTER/ CHILD CARE,facility
"PSYCHOSOCIAL CLUB-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
NYCHA COMMUNITY CENTER - BROOKLYN BOROUGH MANHATTAN OFFICE,facility
"SELF-HELP-OMH, ADVOCACY SERVICES-OMH",program
NYCHA COMMUNITY CENTER - SENIOR CENTER / JOB READINESS / ESL,facility
"NYCHA COMMUNITY CENTER - OFFICE SPACE, TRAINING, RA USE",facility
NYCHA COMMUNITY CENTER - FOOD PANTRY & OFFICES,facility
